page_name	user_name	facebook_id	likes_at_posting	created	type	likes	comments	shares	love	wow	haha	sad	angry	care	video_share_status	post_views	total_views	total_views_for_all_crossposts	video_length	url	message	link	final_link	image_text	link_text	description	sponsor_id	sponsor_name	overperforming_score
Star for Life	starforlifeofficial	60097029575	9117	2020-11-01 13:52:03 CET	Native Video	12	0	2	4	0	0	0	0	0	original	127	138	0	00:00:46	https://www.facebook.com/starforlifeofficial/posts/10158089830659576	"BÄSTA FARSDAGSPRESENTEN!! ⭐️ Beställ vårt fina armband i svart och silver till farsdag<tcomma> och ge samtidigt ett barn i södra Afrika möjligheten att ta del av Star for Lifes program under ett helt år! Swisha 200 kronor eller mer till 900 1611 (då får en elev tillgång till Star for Life-metodiken ett helt år). Närbild på armbandet i kommentarsfältet nedan och vi skickar armbandet så snart vi får din beställning. Stort tack för ditt bidrag! Sedan Star for Life grundades har vi arbetat med 450 000 skolelever i södra Afrika. Star for Lifes unika metodik ökar ungdomarnas självkänsla och ger dem de mentala verktygen som behövs för att kunna skapa sig en bättre framtid."	https://www.facebook.com/starforlifeofficial/videos/401521487545171/	https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Fstarforlifeofficial%2Fvideos%2F401521487545171%2F		Bästa farsdagspresenten! ⭐️				0.95
The Perfect World Foundation	ThePerfectWorld	133188206691411	998951	2020-11-01 13:23:09 CET	Native Video	1	0	0	0	0	0	0	0	0	original	21	21	0	00:00:04	https://www.facebook.com/ThePerfectWorld/posts/3759452784064917	"Repost from @marianilastockholm 💙When you shop at our website<tcomma> marianila.com<tcomma> you are giving back! During our World Vegan Day campaign for the Beluga Whales we’ll donate proceeds from our webshop through the promo code BELUGA! Also<tcomma> between October 23rd–November 10th we will be donating all proceeds from our Vegan Day box at marianila.com to the protection of the whales. We’ll also connect our salon community by donating profits through various products on different markets – connect with your nearest Maria Nila partner to find out more! Link in Bio 🙌 #worldveganday #ichoosefriendly"	https://www.facebook.com/ThePerfectWorld/videos/3759452674064928/	https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FThePerfectWorld%2Fvideos%2F3759452674064928%2F						-24.
Alzheimerfonden	Alzheimerfonden	330990060785	9289	2020-11-01 12:54:52 CET	Link	18	4	8	29	0	0	28	0	9		0	0	0	N/A	https://www.facebook.com/Alzheimerfonden/posts/10158815895240786	"James Bond-Skådespelaren Sean Connery har avlidit 90 år gammal<tcomma> efter en lång kamp mot Alzheimers sjukdom🌹 Vila i frid❤️"	https://www.expressen.se/noje/connery-led-av-demens-kunde-inte-uttrycka-sig/?utm_medium=link&utm_campaign=social_sharing&utm_source=facebook&social=fb			Sean Connerys fru om sista tiden: ”Inget liv”	"Sean Connerys fru har berättat hur en demenssjukdom försvårade James Bond-legendens sista månader i livet. Michelle Roquebrune säger att han trots det fick sin sista önskan uppfylld: att få somna in stilla. – Han led av demens och det slet på honom. Det var inget liv för honom<tcomma> säger Mic..."			-1.14
Act Svenska kyrkan	actsvenskakyrkan	197334613725511	26325	2020-11-01 12:03:30 CET	Link	19	0	1	0	0	0	0	0	0		0	0	0	N/A	https://www.facebook.com/actsvenskakyrkan/posts/3227253224066953	Imorgon utbildar vi nya Ageravolontärer! Efter grundutbildningen erbjuder vi fortbildning inom ett visst ämne. Ta del av Ageravolontären Linneas insikter kring de orättvisor vi kämpar mot ❤️	https://blogg.svenskakyrkan.se/agera/allt-ar-inte-nattsvart/			Allt är inte nattsvart	"Foto: Albin Hillert Det slog mig<tcomma> som så många gånger förut<tcomma> hur orättvis världen är. Vad flickor och kv... • Beräknad lästid: ca 3 min"			-2.3
Spädbarnsfonden	spadbarnsfonden	103957712996605	7656	2020-11-01 12:00:58 CET	Link	3	1	0	1	0	0	0	0	0		0	0	0	N/A	https://www.facebook.com/spadbarnsfonden/posts/3500280723364270	Har du inte kunnat ta dig till en kyrkogård den här Alla helgona-helgen av någon anledning? Det är inte försent att tända ett virtuellt ljus. Tänd ett virtuellt ljus för ett saknat barn och skicka en hälsning till den som saknar. Du stödjer samtidigt forskning om spädbarnsdöd. Lägsta gåvan är 20kr. Varmt tack!	https://spadbarnsfonden.adoveo.com/start/TVRGaFpHOTJaVzg9/?skipPlayer=0&env=dist&autoPlay=1&rand=9&fbclid=IwAR0wH2bONLfDQqWzVVGo7zHqJ5Bg3TiAzFZMFHX-rIcnKRzLvK8hCianeXI			Tänd ett ljus!	Klicka här:			-6.8
Rädda Barnen	raddabarnen	72659261793	172036	2020-11-01 11:15:18 CET	Photo	30	2	4	0	0	0	14	0	10		0	0	0	N/A	https://www.facebook.com/raddabarnen/posts/10157700180071794	20 miljoner barn är i fara när tyfonen Goni drar in över Filippinerna! Swisha gärna KRIS till 902 0033 Den humanitära påverkan riskerar att bli väldigt stor efter Gonis framfart. Barn från fattiga hem i kuststäder och avlägsna provinser kommer drabbas hårt. Vi står redo för att hjälpa de drabbade barnen och deras familjer!	https://www.facebook.com/raddabarnen/photos/a.349815531793/10157700178031794/?type=3		Save the Children					-2.26
Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden)	lakareutangranser	68115370786	392302	2020-11-01 11:00:24 CET	Native Video	38	0	1	1	0	0	1	0	9	original	1286	1286	0	00:00:25	https://www.facebook.com/lakareutangranser/posts/10158132294470787	"<dquote>Det är bättre att förebygga än behandla<dquote> Det osäkra läget i Mali har gjort att tillgången till sjukvård har försämrats och få barn är vaccinerade. Därför driver vi en vaccinationskampanj tillsammans med sjukvårdsmyndigheterna. Sedan februari har vi vaccinerat över 50 000 barn mellan sex månader och 14 år. #LäkareUtanGränser #Mali #mässling"	https://www.facebook.com/lakareutangranser/videos/419319419065264/	https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Flakareutangranser%2Fvideos%2F419319419065264%2F		"Mässling i Timbuktu<tcomma> Mali"				-2.71
Frälsningsarmén	fralsningsarmen	237187386324119	24088	2020-11-01 10:00:38 CET	Native Video	78	8	9	27	0	0	0	0	2	crosspost	1472	1502	1763	00:22:01	https://www.facebook.com/fralsningsarmen/posts/1014512022357741	"Välkommen att dela en stund med oss kring temat: Vårt evighetshopp. Elin och Marcus Hammarberg spelar och sjunger och Jon-Anders Marthinussen håller i andakten som är producerad av Vasakåren i Stockholm Kollekt till Vasakåren kan ges via: Swish: 123 197 98 97 Plusgiro: 706446-2 Tack för din gåva! Textad version finns på Youtube: Vasakåren<tcomma> Stockholm"	https://www.facebook.com/fralsningsarmen/videos/1014512022357741/	https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Ffralsningsarmen%2Fvideos%2F1014512022357741%2F		Andakt - Vårt evighetshopp - 201101				2.18
Human Rights Watch Sweden	HRWSweden	272805369902621	2064	2020-11-01 10:00:30 CET	Link	2	0	0	0	0	0	0	0	2		0	0	0	N/A	https://www.facebook.com/HRWSweden/posts/1034296083753542	"Polens beslut om att inskränka aborträtten är farligt för miljontals flickor och kvinnor. Det är ett steg mot en farlig utveckling för kvinnors rättigheter i Europa. Vi fortsätter stötta polska kvinnor i deras kamp för rätten till säkra och lagliga aborter<tcomma> och vi slutar aldrig kämpa. https://www.hrw.org/news/2020/10/22/polands-constitutional-tribunal-rolls-back-reproductive-rights"	https://www.hrw.org/news/2020/10/22/polands-constitutional-tribunal-rolls-back-reproductive-rights?fbclid=IwAR3s-FbefNJFNhUmRaFLbI_WjtxizWypT4kZiRaEEw7L0aQk0NqCxF-h-4s			Poland’s Constitutional Tribunal Rolls Back Reproductive Rights	"The Polish Constitutional Tribunal’s ruling to invalidate the constitutionality of access to abortion on the ground of “severe and irreversible fetal defect or incurable illness that threatens the fetus’ life” will further harm women and girls and violates their human rights<tcomma> Amnesty Interna..."			-0.8
Barndiabetesfonden	barndiabetesfonden	151450234896857	17905	2020-11-01 10:00:21 CET	Photo	84	1	60	6	0	0	0	0	6		0	0	0	N/A	https://www.facebook.com/barndiabetesfonden/posts/4616794928362343	"Idag börjar diabetesmånaden vilket innebär att vi på Barndiabetesfonden kommer lägga ett extra stort fokus på att uppmärksamma typ 1-diabetes. Även i år kommer vi att driva kampanjen Blå Knuten. Stötta de 8 000 barn som lever med typ 1-diabetes genom att knyta en knut. Det är enkelt att vara med i kampen – gör så här: • Bär ett blått band<tcomma> snöre eller rep med en tydlig blå knut – hur och var du vill. • Fota din blå knut och dela bilden i dina sociala medier. Märk inlägget med #BlåKnuten och tagga @Barndiabetesfonden och berätta att du stöttar kampen mot typ 1-diabetes (länk till så här kan du berätta om ditt stöd för Blå knuten här). • Swisha 100 kronor till 900 05 97 och uppmana dina vänner att göra samma sak. Märk din gåva “BlåKnuten” i meddelanderaden. Klicka på länken för att läsa mer om hur du kan vara med oss i kampen mot typ 1-diabetes under hela november: https://bit.ly/3jHNv9d:=:https://www.barndiabetesfonden.se/blaknuten/?utm_source=Facebook&utm_campaign=SocialOrganic2020&utm_medium=Social366"	https://www.facebook.com/barndiabetesfonden/photos/a.165995666775647/4616794928362343/?type=3	https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Fbarndiabetesfonden%2Fphotos%2Fa.165995666775647%2F4616794928362343%2F%3Ftype%3D3	"Vanessa 20 man<tcomma> fick typ 1-diabetes maj 2020"	Timeline Photos				2.1
