"post_id"	"post_message"	"by"	"post_published_unix"	"post_lang"	"likes_at_posting"	"likes_count_fb"	"comments_count_fb"	"shares_count_fb"	"reactions_count"	"engagement_index"	"emoji"	"emnum"
"MercyShips-10156980445394900"	"Please join us in praying for safe and steady seas as the #AfricaMercy makes its way to Dakar Senegal! We pray for their safety and that this may be a time of calm and preparation as all hands are on deck to pave the way for the upcoming field service."	"MercyShips"	1565646900	"en"	168877	851	61	149	160	1221	NA	0
"barncancerfonden-10156484705206388"	"Som praktikant på Barncancerfonden får man följa med på annorlunda uppdrag. Möt vår praktikant Amanda Björnfot som var med när Expressen intervjuade Hedda vars lillasyster dog i cancer 2014. Vår blogg har fått nytt utseende och flyttat in på vår vanliga sajt. Läs mer om dagen med Hedda i bloggen: https://www.barncancerfonden.se/blogg/heldag-med-hedda/"	"barncancerfonden"	1524759204	"se"	120076	150	1	8	13	172	NA	0
"HRWSweden-1029136950936122"	"FN firar 75 år 🇺🇳 Den 24 oktober varje år firas FN-dagen och i år är det 75 år sedan grundadet av de Förenta Nationerna. För Human Rights Watch är FN en plattform där vi kan informera internationella tjänstemän och medlemsländer om läget gällande mänskliga rättigheter runt om i världen påverka politik och driva på brådskande åtgärder för att hantera mänskliga rättighetskriser. Under hösten har flera viktiga processer rörande mänskliga rättigheter pågått inom FN: ⚖️ Valet av medlemsländer till FN:s råd för mänskliga rättigheter 👩‍👧Valet av medlemmar till FN:s kommittee under konventionen om avskaffande av all slags diskriminering av kvinnor (CEDAW) 🔍 Det årliga sammanträdet av FN:s generalförsamling i kombination med högnivåmöten som bland annat berör Pekingplattformen för kvinnors rättigheter och biologisk mångfald. FN har på många sätt visat sig vara en viktig organisation för upprätthållandet av mänskliga rättigheter främst genom FN:s deklaration om de mänskliga rättigheterna och konventionen om medborgerliga och politiska rättigheter samt konventionen om ekonomiska sociala och kulturella rättigheter. Nu när FN fyller 75 utmanas det globala samarbetet av nationalistiska och populistiska krafter. Samtidigt visar det att FN:s arbete för mänskliga rättigheter är viktigare än någonsin. Vad tycker du om FN? 🇺🇳"	"HRWSweden"	1603519211	"se"	2053	7	1	0	2	10	"woman girl left-pointing magnifying glass"	3
"raddabarnen-10156409081821794"	"Happy Pride! 🏳️‍🌈 Unga HBTQ-aktivister lever farligt i Sydafrika. Men 16-åriga Kim har bestämt sig. Följ med Kim till Pride i Johannesburg."	"raddabarnen"	1564722000	"se"	170557	46	1	2	7	56	"rainbow"	1
"GbgStadsmission-1428648310493679"	"VI BEHÖVER KLÄDER! Vintern närmar sig och vi behöver påfyllning med kläder för både barn och vuxna. Rensa ut där hemma och lämna till oss. Allt som är helt och rent tar vi emot. Du kan lämna i alla våra åtta second hand-butiker eller direkt till vår insamlingscentral på Korpralsgatan 2 Bellevue. Allt vi får in sorteras på vår insamlingscentral. Därifrån förmedlar vi sedan kläder till behövande. Överskottet säljer vi på Ebbes Hörna. Dela gärna. Tack för din hjälp! I länken hittar du våra butiker: http://www.stadsmissionen.org/second-hand/vara-butiker/"	"GbgStadsmission"	1479726210	"se"	8470	141	4	195	0	340	NA	0
"astmaallergiforbundet-1434551056573881"	"Nu är det bara några dagar kvar till Parfymfria veckan som är den 7-13 november Du kan också stödja kampanjen – det är enklare än du tror! Tips nr 3: Visa extra hänsyn i utsatta miljöer Vårdinrättningar skolor arbetsplatser och kollektivtrafik är platser som kan vara svåra – ofta omöjliga – att välja bort för den som är överkänslig mot parfym. Ingenstans uppskattas visad hänsyn lika mycket som här."	"astmaallergiforbundet"	1478250000	"se"	8897	129	2	102	0	233	NA	0
"linkopingsstadsmission.fb-1575217952555297"	"SECOND HAND Gör som vårat vänföretag Esq skänk gåvor för en bättre miljö och ett mänskligare samhälle. I butiken har vi många fina julklappstips både nya och begagnade. Vågen bestämmer priset: Kläder 69:-/kg Textil 29:-/kg Vi finns på Roxtorpsgatan 14 Öppet tisdag & torsdag 11-18 Lördag 10-15 VÄLKOMNA!"	"linkopingsstadsmission.fb"	1512472065	"se"	5468	12	0	2	0	14	NA	0
"actsvenskakyrkan-2559907630801519"	"“Vi måste förändra vårt sätt att tänka och våra könsroller måste helt omdefinieras.” Det går inte alltid snabbt att förändra traditionella värderingar men Addisu ser en positiv förändring i Etiopien där civilsamhället nu får större möjligheter att engagera sig för mänskliga rättigheter. #actnow"	"actsvenskakyrkan"	1581876206	"se"	25075	58	0	5	1	64	NA	0
"kvinnatillkvinna-10155562427452501"	"Med stöd från Botkyrka Folkhögskola i Hallunda har volontärer från Kvinna till Kvinna drivit en lokal studiecirkel med fokus på kvinnors rättigheter öppen för alla kvinnor på skolan. Resultatet? Större medvetenhet och varaktigt engagemang hos deltagarna i den gemensamma kampen för kvinnors rättigheter!"	"kvinnatillkvinna"	1481300098	"se"	36669	94	0	4	5	103	NA	0
"minstoradag-2612123092170010"	"ANTONS STORA DAG I LEGOFABRIKEN 13-åriga Anton från Alingsås har Ewing Sarkom en sorts cancer i benet. Behandlingen tog ett år med cellgifter operation och strålning. Anton har svårt att gå är hjärntrött och har svårt att koncentrera sig i skolan på grund av sin sjukdom. Anton är väldigt intresserad av Lego och hans önskan var att få se hur man gör Lego. Anton och familjen fick åka till Billund i Danmark där både Legofabriken och Legoland ligger. Resans höjdpunkt var att få besöka Legofabriken och framförallt att träffa Legodesigners! Anton fick se kommande års designplaner och fick lära sig mer om hur en designer jobbar på Lego. Guiden Kalle som jobbat länge på Lego tog hand om familjen under dagen och all hans kunskap och berättelser gjorde dagen till ett äventyr! – Anton kommer att bära med sig denna upplevelse hela sitt liv sa Antons mamma efter resan. Sjukdomar och diagnoser tar inte jullov. Swisha en julgåva på 100 kr till 900 51 33 din gåva idag blir en Stor Dag imorgon!"	"minstoradag"	1575979789	"se"	96218	496	8	8	112	624	NA	0
